source,experiment,stain,subject_id,intensity_mean,intensity_std,intensity_skew,intensity_kurt,freq_band0,freq_band1,freq_band2,freq_band3,freq_band4,grad_mean,grad_std,gmm_mean1,gmm_mean2,gmm_weight1,gmm_std1,PC1,PC2,PC3,PC4,PC5
real,,Abeta,043,-0.8498949,-0.6066432,0.7407291,0.21542694,-1.1139171,-0.3943812,-0.2854512,-0.26731005,-0.31798673,-0.8591902,-0.46807215,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.489343,-1.1862698,-2.7563531,-0.16467765,0.13317879
real,,Abeta,044,-0.6798512,-0.5148578,-0.11634716,-0.32368845,-0.42522833,-0.022074353,0.3176962,0.48092625,0.5621832,-0.32414126,-0.33180115,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.62241,-0.63002795,-1.6835531,-1.1940415,0.011202931
real,,Abeta,045,-0.9172637,-0.8270682,5.5336924,3.4574223,-1.4660599,-2.498244,-3.0847385,-3.2670455,-3.3151991,-1.160851,-1.203988,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-17.780317,-2.0515163,-7.0948067,4.6505413,-0.23615159
real,,Abeta,046,-0.8297795,-0.5831063,0.27497926,-0.115465924,-0.7559946,-0.23673601,-0.028914694,0.15292378,0.21009591,-0.6050592,-0.45216733,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.105042,-0.9112717,-2.184149,-0.7561975,0.020543173
real,,Abeta,047,-0.568282,-0.7663493,-0.009895433,0.4159008,-0.5026203,-1.378289,-1.644168,-1.7173958,-1.629325,-1.0247321,-1.0554022,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-16.068516,-1.7446226,-4.0676284,1.2622582,-0.27716613
real,,Abeta,048,-0.6443088,-0.4827912,-0.070148006,-0.30810454,-0.3493927,0.039430223,0.3467355,0.5444974,0.6281021,-0.34441587,-0.22538516,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.543363,-0.62162644,-1.5872827,-1.2245481,0.11035474
real,,Abeta,049,-0.63382614,-0.44765148,0.03422979,-0.2756027,-0.28753304,0.11070664,0.42821646,0.6512723,0.7643211,-0.3805458,-0.16806482,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.468214,-0.6306702,-1.4536401,-1.312503,0.1637795
real,,Abeta,050,-0.5840408,-0.45993254,-0.18194035,-0.34907284,-0.28977203,0.15977569,0.5777836,0.7730444,0.8675154,-0.09131709,-0.12465441,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.268061,-0.3558618,-1.3469603,-1.4705652,0.10435851
real,,Abeta,051,-0.58172023,-0.74920696,-0.48508692,-0.074656315,-0.55769473,-1.7172639,-2.204683,-2.2052758,-2.1583314,-1.0282569,-1.0982952,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-16.371504,-1.8081173,-4.4368644,1.7447921,-0.29144543
real,,YoPro,002,0.51825446,-0.007387319,-0.38343975,-0.44037712,0.47471774,0.16625881,-0.36219093,-0.82929635,-0.9877712,-0.15706085,-0.18502352,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-13.932362,-0.95692265,-2.280712,0.44942844,0.19665736
